condition,method,average_accuracy_mean,average_accuracy_sd,mean_forgetting_mean,mean_forgetting_sd,buffer_purity_mean,buffer_purity_sd,gate_separation_mean,gate_separation_sd,inversion_rate_mean,inversion_rate_sd,n_seeds
c10n_aggre,er,0.75804,0.023536099931806942,0.07104999999999995,0.021249558818949632,0.9144,0.01570986950932436,,,,,5
c10n_aggre,derpp,0.7740400000000001,0.01194269651293208,0.06524999999999996,0.012398336581977417,0.9144,0.01570986950932436,,,,,5
c10n_aggre,gate_loss,0.78736,0.017381254270046196,0.04955,0.028071560341384652,0.946,0.015684387141358072,0.43754852533384525,0.021408117884423577,0.0,0.0,5
c10n_aggre,gate_conf,0.76256,0.02081797300411349,0.06049999999999998,0.012919220177704242,0.9480000000000001,0.01174734012447069,0.2309462459224474,0.046799704012747495,0.0,0.0,5
c10n_aggre,oracle,0.7924800000000001,0.007338392194479688,0.04505,0.01002715064213159,1.0,0.0,1.0,0.0,0.0,0.0,5
c10n_worse,er,0.5515599999999999,0.008406426113396847,0.07159999999999997,0.002540915189454397,0.5972,0.025440125785852575,,,,,5
c10n_worse,derpp,0.59672,0.023845586593749423,0.06404999999999991,0.02765038426496092,0.5972,0.025440125785852575,,,,,5
c10n_worse,gate_loss,0.59036,0.038390988525954885,0.05989999999999992,0.03032305228699778,0.6348,0.01931838502566922,0.12477855706125647,0.026405363909586584,0.0,0.0,5
c10n_worse,gate_conf,0.58712,0.017910108877390935,0.047949999999999944,0.022961516718196094,0.6584000000000001,0.025471552759892782,0.03482055773065702,0.00411027792100885,0.04,0.0894427190999916,5
c10n_worse,oracle,0.7048,0.013620572675185152,0.02084999999999994,0.009234107969912387,1.0,0.0,1.0,0.0,0.0,0.0,5
